tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
PF18-110	PF18	130.42					220.6	0	81.9	308.9	-24	This study	SO-CMD-NORTH
PF18-111	PF18	130.5					205.6	0	81.9	308.9	-29	This study	SO-CMD-NORTH
PF18-112	PF18	131.05					212.6	0	81.9	308.9	-34	This study	SO-CMD-NORTH
PF18-113	PF18	131.1					213.6	0	81.9	308.9	-32	This study	SO-CMD-NORTH
PF18-114	PF18	131.62					31.6	0	81.9	308.9	-29	This study	SO-CMD-NORTH
PF18-115	PF18	132.5					-38.4	0	81.9	308.9	-33	This study	SO-CMD-NORTH
PF18-116	PF18	132.59					214.6	0	81.9	308.9	-28	This study	SO-CMD-NORTH
PF18-117	PF18	133.07					223.6	0	81.9	308.9	-33	This study	SO-CMD-NORTH
PF18-118	PF18	133.58					217.6	0	81.9	308.9	-34	This study	SO-CMD-NORTH
PF18-119	PF18	134.02					204.6	0	81.9	308.9	-28	This study	SO-CMD-NORTH
PF18-120	PF18	134.49					212.6	0	81.9	308.9	-36	This study	SO-CMD-NORTH
PF18-121	PF18	134.86					218.6	0	81.9	308.9	-29	This study	SO-CMD-NORTH
PF18-122	PF18	135.38					36.6	0	81.9	308.9	-12	This study	SO-CMD-NORTH
PF18-123	PF18	135.8					-58.4	0	81.9	308.9	-38	This study	SO-CMD-NORTH
PF18-124	PF18	136.31					224.6	0	81.9	308.9	-48	This study	SO-CMD-NORTH
PF18-125	PF18	137.03					225.6	0	81.9	308.9	-20	This study	SO-CMD-NORTH
PF18-126	PF18	137.7					220.6	0	81.9	308.9	-32	This study	SO-CMD-NORTH
PF18-127	PF18	137.74					210.6	0	81.9	308.9	-22	This study	SO-CMD-NORTH
PF18-128	PF18	139.46					226.6	0	81.9	308.9	-25	This study	SO-CMD-NORTH
PF18-129	PF18	139.86					215.6	0	81.9	308.9	-45	This study	SO-CMD-NORTH
PF18-130	PF18	140.18					225.6	0	81.9	308.9	-36	This study	SO-CMD-NORTH
PF18-131	PF18	140.25					216.6	0	81.9	308.9	-38	This study	SO-CMD-NORTH
PF18-132	PF18	140.68					236.6	0	81.9	308.9	-22	This study	SO-CMD-NORTH
PF18-133	PF18	140.85					218.6	0	81.9	308.9	-21	This study	SO-CMD-NORTH
PF18-134	PF18	141.89					210.6	0	81.9	308.9	-55	This study	SO-CMD-NORTH
PF18-135	PF18	142.82					219.6	0	81.9	308.9	-50	This study	SO-CMD-NORTH
PF18-136	PF18	143.57					226.6	0	81.9	308.9	-15	This study	SO-CMD-NORTH
PF18-137	PF18	144.47					224.6	0	81.9	308.9	-38	This study	SO-CMD-NORTH
PF18-138	PF18	145.24					88.6	0	83.0	312.8	-9	This study	SO-CMD-NORTH
PF18-139	PF18	145.44					54.6	0	83.0	312.8	-10	This study	SO-CMD-NORTH
PF18-140	PF18	145.77					41.6	0	83.0	312.8	-25	This study	SO-CMD-NORTH
PF18-141	PF18	146.42					220.6	0	83.0	312.8	-29	This study	SO-CMD-NORTH
PF18-142	PF18	146.73					37.6	0	83.0	312.8	-23	This study	SO-CMD-NORTH
PF18-143	PF18	147.23					47.6	0	83.0	312.8	-29	This study	SO-CMD-NORTH
PF18-144	PF18	147.37					39.6	0	83.0	312.8	-23	This study	SO-CMD-NORTH
